subjectID activityName domain signal_type sensor statistic jerk magnitude axis obs average
1 1 laying frequency body accelerometer mean FALSE FALSE X 17 -0.939334557058824
2 1 laying frequency body accelerometer mean FALSE FALSE Y 17 -0.836817542941176
3 1 laying frequency body accelerometer mean FALSE FALSE Z 16 -0.91640696625
4 1 laying frequency body accelerometer mean FALSE FALSE NA 100 -0.89584459529
5 1 laying frequency body accelerometer mean FALSE TRUE NA 50 -0.8617676481
6 1 laying frequency body accelerometer mean TRUE FALSE X 17 -0.954430553529412
7 1 laying frequency body accelerometer mean TRUE FALSE Y 17 -0.906748019411765
8 1 laying frequency body accelerometer mean TRUE FALSE Z 16 -0.9597127275
9 1 laying frequency body accelerometer mean TRUE FALSE NA 100 -0.9438443051
10 1 laying frequency body accelerometer mean TRUE TRUE NA 50 -0.9333003608
11 1 laying frequency body accelerometer stdDev FALSE FALSE X 17 -0.920940344117647
12 1 laying frequency body accelerometer stdDev FALSE FALSE Y 17 -0.792164390235294
13 1 laying frequency body accelerometer stdDev FALSE FALSE Z 16 -0.882923105
14 1 laying frequency body accelerometer stdDev FALSE FALSE NA 100 -0.85298177343
15 1 laying frequency body accelerometer stdDev FALSE TRUE NA 50 -0.7983009404
16 1 laying frequency body accelerometer stdDev TRUE FALSE X 17 -0.960881177058823
17 1 laying frequency body accelerometer stdDev TRUE FALSE Y 17 -0.919681321176471
18 1 laying frequency body accelerometer stdDev TRUE FALSE Z 16 -0.9687004525
19 1 laying frequency body accelerometer stdDev TRUE FALSE NA 100 -0.953795086
20 1 laying frequency body accelerometer stdDev TRUE TRUE NA 50 -0.9218039756
21 1 laying frequency body gyroscope mean FALSE FALSE X 17 -0.829474273470588
22 1 laying frequency body gyroscope mean FALSE FALSE Y 17 -0.948153154705882
23 1 laying frequency body gyroscope mean FALSE FALSE Z 16 -0.9436008525
24 1 laying frequency body gyroscope mean FALSE FALSE NA 100 -0.902698896003
25 1 laying frequency body gyroscope mean FALSE TRUE NA 50 -0.8621901854
26 1 laying frequency body gyroscope mean TRUE TRUE NA 50 -0.9423669466
27 1 laying frequency body gyroscope stdDev FALSE FALSE X 17 -0.863065648823529
28 1 laying frequency body gyroscope stdDev FALSE FALSE Y 17 -0.947519824705882
29 1 laying frequency body gyroscope stdDev FALSE FALSE Z 16 -0.955523845625
30 1 laying frequency body gyroscope stdDev FALSE FALSE NA 100 -0.9143721584
31 1 laying frequency body gyroscope stdDev FALSE TRUE NA 50 -0.82431943968
32 1 laying frequency body gyroscope stdDev TRUE TRUE NA 50 -0.9326606676
33 1 laying time body accelerometer mean FALSE FALSE X 17 0.242514411117647
34 1 laying time body accelerometer mean FALSE FALSE Y 17 -0.03442261091
35 1 laying time body accelerometer mean FALSE FALSE Z 16 -0.090331381875
36 1 laying time body accelerometer mean FALSE FALSE NA 100 0.01301778353
37 1 laying time body accelerometer mean FALSE TRUE NA 50 -0.8419291525
38 1 laying time body accelerometer mean TRUE FALSE X 17 0.0645298774117647
39 1 laying time body accelerometer mean TRUE FALSE Y 17 0.00560361301764706
40 1 laying time body accelerometer mean TRUE FALSE Z 16 -0.02049145910375
41 1 laying time body accelerometer mean TRUE FALSE NA 100 0.0392354273685
42 1 laying time body accelerometer mean TRUE TRUE NA 50 -0.9543962646
43 1 laying time body accelerometer stdDev FALSE FALSE X 17 -0.925487814117647
